player,player_id,team,season,position
Joe Burrow,00-0036442,Cincinnati Bengals,2023,QB
Aaron Rodgers,00-0023459,Green Bay Packers,2022,QB
Josh Allen,00-0034857,Buffalo Bills,2021,QB
Russell Wilson,00-0029263,Denver Broncos,2022,QB
Dak Prescott,00-0033077,Dallas Cowboys,2024,QB
Justin Herbert,00-0036355,Los Angeles Chargers,2023,QB
Lamar Jackson,00-0034796,Baltimore Ravens,2023,QB
Patrick Mahomes,00-0033873,Kansas City Chiefs,2020,QB
Jalen Hurts,00-0036389,Philadelphia Eagles,2023,QB
Kyler Murray,00-0035228,Arizona Cardinals,2022,QB
Deshaun Watson,00-0033537,Cleveland Browns,2022,QB
Dak Prescott,00-0033077,Dallas Cowboys,2021,QB
Trevor Lawrence,00-0036971,Jacksonville Jaguars,2024,QB
Jordan Love,00-0036264,Green Bay Packers,2024,QB
Tua Tagovailoa,00-0036212,Miami Dolphins,2024,QB
Jared Goff,00-0033106,Detroit Lions,2024,QB
Josh Allen,00-0034857,Buffalo Bills,2025,QB
Deshaun Watson,00-0033537,Houston Texans,2020,QB
Derek Carr,00-0031280,Las Vegas Raiders,2022,QB
Matt Stafford,00-0026498,Los Angeles Rams,2022,QB
Brock Purdy,00-0037834,San Francisco 49ers,2025,QB
Aaron Rodgers,00-0023459,Green Bay Packers,2018,QB
Russell Wilson,00-0029263,Seattle Seahawks,2019,QB
Ben Roethlisberger,00-0022924,Pittsburgh Steelers,2019,QB
Jared Goff,00-0033106,Los Angeles Rams,2019,QB
Daniel Jones,00-0035710,New York Giants,2023,QB
Kirk Cousins,00-0029604,Atlanta Falcons,2024,QB
Carson Wentz,00-0032950,Philadelphia Eagles,2019,QB
Matt Ryan,00-0026143,Atlanta Falcons,2018,QB
Kirk Cousins,00-0029604,Minnesota Vikings,2022,QB
Aaron Rodgers,00-0023459,New York Jets,2023,QB
Derek Carr,00-0031280,New Orleans Saints,2023,QB
Kirk Cousins,00-0029604,Minnesota Vikings,2020,QB
Matt Stafford,00-0026498,Detroit Lions,2017,QB
Dak Prescott,00-0033077,Dallas Cowboys,2020,QB
Andrew Luck,00-0029668,Indianapolis Colts,2016,QB
