player_id,player_name,season,pass_attempts,completions,pass_yards,pass_tds,interceptions,sacks,pass_epa_per_play,pass_total_epa,completion_pct,yards_per_attempt,pass_td_rate,int_rate,carries,rush_yards,rush_tds,explosive_runs,rush_fumbles,rush_epa_per_play,rush_total_epa,yards_per_carry,rush_td_rate,explosive_run_rate,fumble_rate,targets,receptions,rec_yards,rec_tds,explosive_recs,rec_fumbles,air_yards,yac,rec_epa_per_play,rec_total_epa,catch_rate,yards_per_rec,rec_td_rate,explosive_rec_rate,air_yards_per_target,yac_per_rec,games_played,player,position,curr_year_signed,curr_years,curr_value,curr_apy,curr_guaranteed,is_active,curr_apy_cap_pct,curr_inflated_value,curr_inflated_apy,curr_inflated_guaranteed,draft_round,draft_overall,year_end,next_year_signed,next_apy,next_years,next_value,next_guaranteed,next_apy_cap_pct,next_inflated_value,next_inflated_apy,next_inflated_guaranteed
00-0034342,Q.Nelson,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,-0.9637770640547387,-0.9637770640547387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Quenton Nelson,LG,2018,4,23.888912,5.972228,23.888912,false,0.034,40.605758,10.151439,40.605758,1,6,2021,2022,20.0,4,80.0,41.0,0.096,115.73487,28.933718,59.314121
00-0030433,M.Gillislee,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,43.0,0.0,0,1.0,-0.8861267700813187,-14.178028321301099,2.6875,0.0,0.0,0.0625,1.0,1.0,9.0,0.0,0,0.0,0.0,9.0,0.7660472732968628,0.7660472732968628,1.0,9.0,0.0,0.0,0.0,9.0,4,Mike Gillislee,RB,2018,1,0.85,0.85,0.0,false,0.005,1.444808,1.444808,0.0,5,164,2018,,,,,,,,,
00-0037248,J.Cook,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.0,1122.0,2.0,33,3.0,-0.030811131249335027,-7.3022381060924015,4.734177215189874,0.008438818565400843,0.13924050632911392,0.012658227848101266,54.0,44.0,445.0,4.0,7,1.0,137.0,398.0,0.3031334360573489,16.36920554709684,0.8148148148148148,10.113636363636363,0.07407407407407407,0.1590909090909091,2.537037037037037,9.045454545454545,17,James Cook,RB,2022,4,5.832064,1.458016,3.096594,false,0.006999999999999999,8.437165,2.109291,4.479799,2,63,2025,2025,11.5,4,46.0,15.28,0.040999999999999995,49.624642,12.40616,16.484011
00-0037012,T.Lance,2021,69.0,41.0,603.0,5.0,2.0,4.0,0.14246569927334826,10.684927445501119,0.5942028985507246,8.73913043478261,0.07246376811594203,0.028985507246376812,39.0,168.0,1.0,4,0.0,-0.04502645745792846,-1.75603184085921,4.3076923076923075,0.02564102564102564,0.10256410256410256,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,Trey Lance,QB,2021,4,34.105258,8.526315,34.105258,false,0.047,56.287692,14.071924,56.287692,1,3,2024,2025,2.0,1,2.0,1.5,0.006999999999999999,2.157593,2.157593,1.618195
00-0033936,C.Beathard,2017,218.0,123.0,1430.0,4.0,6.0,19.0,-0.22226571466349526,-54.01056866322935,0.5642201834862385,6.559633027522936,0.01834862385321101,0.027522935779816515,26.0,136.0,3.0,4,0.0,0.26665312897042404,6.932981353231025,5.230769230769231,0.11538461538461539,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,C.J. Beathard,QB,2017,4,3.528646,0.882162,0.706288,false,0.005,6.364241,1.591061,1.273856,3,104,2020,2021,2.5,2,5.0,2.5,0.013999999999999999,8.252055,4.126027,4.126027
00-0034411,R.Gage,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,0.0,0,0.0,-0.2774710409285035,-1.109884163714014,3.0,0.0,0.0,0.0,74.0,49.0,446.0,1.0,0,0.0,525.0,151.0,0.0916409728551558,6.781431991281528,0.6621621621621622,9.10204081632653,0.013513513513513514,0.0,7.094594594594595,3.0816326530612246,14,Russell Gage,WR,2018,4,2.616192,0.654048,0.156192,false,0.004,4.446936,1.111734,0.265491,6,194,2021,2022,10.0,3,30.0,15.0,0.048,43.400576,14.466859,21.700288
00-0036534,S.Zylstra,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,34.0,0.0,0,0.0,38.0,6.0,-0.774540867070703,-5.421786069494921,0.42857142857142855,11.333333333333334,0.0,0.0,5.428571428571429,2.0,2,Shane Zylstra,TE,2021,1,0.1656,0.1656,0.0,false,0.001,0.273308,0.273308,0.0,,,2021,2022,0.825,1,0.825,0.0,0.004,1.193516,1.193516,0.0
00-0034829,M.Gesicki,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,22.0,202.0,0.0,1,1.0,275.0,96.0,-0.2436877850876411,-7.798009122804515,0.6875,9.181818181818182,0.0,0.045454545454545456,8.59375,4.363636363636363,14,Mike Gesicki,TE,2018,4,6.611924,1.652981,4.149214,false,0.009000000000000001,11.238778,2.809695,7.052727,2,42,2021,2022,10.931,1,10.931,10.931,0.053,15.813723,15.813723,15.813723
00-0033114,M.Thomas,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,93.0,0.0,1,1.0,103.0,29.0,0.31247062567497014,2.187294379724791,0.7142857142857143,18.6,0.0,0.2,14.714285714285714,5.8,4,Mike Thomas,WR,2016,4,2.456068,0.614017,0.116068,false,0.004,4.764395,1.191099,0.225154,6,206,2019,2020,0.85,1,0.85,0.025,0.004,1.291726,1.291726,0.037992
00-0037248,J.Cook,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,507.0,2.0,12,1.0,0.07304354543795055,6.5008755439776,5.696629213483146,0.02247191011235955,0.1348314606741573,0.011235955056179775,32.0,21.0,180.0,1.0,1,0.0,82.0,132.0,0.12102301299283608,3.8727364157707544,0.65625,8.571428571428571,0.03125,0.047619047619047616,2.5625,6.285714285714286,16,James Cook,RB,2022,4,5.832064,1.458016,3.096594,false,0.006999999999999999,8.437165,2.109291,4.479799,2,63,2025,2025,11.5,4,46.0,15.28,0.040999999999999995,49.624642,12.40616,16.484011
00-0036233,D.Peoples-Jones,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,14.0,304.0,2.0,4,0.0,344.0,77.0,0.9508647194147509,19.96815910770977,0.6666666666666666,21.714285714285715,0.09523809523809523,0.2857142857142857,16.38095238095238,5.5,7,Donovan Peoples-Jones,WR,2020,4,3.481608,0.870402,0.186608,false,0.004,5.29092,1.32273,0.283584,6,187,2023,2024,1.3,1,1.3,0.125,0.005,1.533125,1.533125,0.147416
