player_id,player_name,team,player,season,headshot_url
00-0022531,Jason Peters,Seattle Seahawks,Jason Peters,2024,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xcsyqvrlrpe6s3d0rodq"
00-0023459,Aaron Rodgers,New York Jets,Aaron Rodgers,2024,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dypvakakxhccxs67tb0y"
00-0023742,Jon Ryan,Seattle Seahawks,Jon Ryan,2024,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jarcsmohj6vbznthlni8"
00-0023853,Matt Prater,Arizona Cardinals,Matt Prater,2024,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pj981bi535y4jwy6skr1"
00-0024243,Marcedes Lewis,Chicago Bears,Marcedes Lewis,2024,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ppq07tipygpftz5csipx"
00-0025565,Nick Folk,Tennessee Titans,Nick Folk,2024,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qcfiv2cc7ky37yq9iklp"
00-0026027,J.J. Jansen,Carolina Panthers,J.J. Jansen,2024,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/vmbidsuvur7zfmpt9xak"
00-0026143,Matt Ryan,Atlanta Falcons,Matt Ryan,2024,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/s6zam4ekrrnonsck6vak"
00-0026158,Joe Flacco,Indianapolis Colts,Joe Flacco,2024,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/vbqptn8emdlbeaz1kvmx"
00-0026190,Calais Campbell,Miami Dolphins,Calais Campbell,2024,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/juvpepl8uc1p9rs7upsf"
00-0026300,Josh Johnson,Baltimore Ravens,Josh Johnson,2024,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ibuhbuhomisj4t8vvhay"
00-0026498,Matthew Stafford,LA,Matthew Stafford,2024,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/svxl2pk2cuqf26zrhii4"
00-0026858,Graham Gano,New York Giants,Graham Gano,2024,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/wp5wochy7uuqcgyjcrrd"
00-0027114,Thomas Morstead,New York Jets,Thomas Morstead,2024,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/uicxa9bwvrenvcwnoklm"
00-0027187,Matt Overton,Miami Dolphins,Matt Overton,2024,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/yeulo5dieb6um5zajehr"
