player,player_name,player_id,player_norm,position,season,next_year_signed,games_played,current_apy,actual_apy,predicted_apy,value_gap,contract_accuracy_abs,actual_years,pred_years,actual_guar,pred_guar,curr_years,curr_guaranteed,confidence_pct,verdict,pass_yards,pass_tds,completion_pct,yards_per_attempt,pass_epa_per_play,rush_yards,rush_tds,yards_per_carry,rush_epa_per_play,explosive_run_rate,rec_yards,rec_tds,catch_rate,yards_per_rec,rec_epa_per_play,total_tds,pass_yards_pct,pass_tds_pct,completion_pct_pct,yards_per_attempt_pct,pass_epa_per_play_pct,rush_yards_pct,rush_tds_pct,yards_per_carry_pct,rush_epa_per_play_pct,explosive_run_rate_pct,rec_yards_pct,rec_tds_pct,catch_rate_pct,yards_per_rec_pct,rec_epa_per_play_pct,games_played_pct,team,headshot_url,player_map
Clayton Tune,C.Tune,00-0038582,clayton tune,QB,2024.0,2025,5.0,1.047656,1.17,3.32,2.15,2.15,2,1.3,0.0,0.43,4.0,0.350624,68.19565217391305,Undervalued,8.0,0.0,1.0,4.0,-0.5640093390829861,-4.0,0.0,-0.5714285714285714,-1.5056606059245363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0953757225433526,0.14450867052023122,0.9733727810650887,0.10355029585798817,0.10404624277456648,0.05202312138728324,0.33815028901734107,0.10404624277456648,0.03468208092485549,0.24855491329479767,0.5028901734104047,0.5028901734104047,0.4797687861271676,0.502906976744186,0.5289017341040463,0.5289017341040463,Arizona Cardinals,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qf8khbyllgjzfyqd3yuz",Clayton Tune
DeeJay Dallas,D.Dallas,00-0036425,deejay dallas,RB,2024.0,2025,6.0,2.75,1.26,2.31,1.05,1.05,1,1.1,0.0,0.57,3.0,2.395,71.60514640638864,Fair,0.0,0.0,0.0,0.0,0.0,49.0,0.0,5.444444444444445,0.1423412975079069,0.1111111111111111,11.0,1.0,1.0,3.6666666666666665,0.5401071352922978,1.0,0.49272727272727274,0.49272727272727274,0.4925373134328358,0.4925373134328358,0.5054545454545455,0.28545454545454546,0.23272727272727273,0.9454545454545454,0.9454545454545454,0.7272727272727273,0.24,0.8018181818181818,0.9272727272727272,0.18129770992366412,0.9236363636363636,0.36727272727272725,Arizona Cardinals,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/weotbgqp9f3y1hptcxzm",DeeJay Dallas
Michael Carter,M.Carter,00-0036924,michael carter,RB,2024.0,2025,3.0,1.1875,1.26,1.46,0.19999999999999996,0.19999999999999996,1,1.1,0.0,0.12,2.0,0.1,73.87533274179236,Fair,0.0,0.0,0.0,0.0,0.0,131.0,1.0,3.742857142857143,-0.0136723913080101,0.0571428571428571,57.0,0.0,1.0,5.181818181818182,0.0870753304281441,1.0,0.49272727272727274,0.49272727272727274,0.4925373134328358,0.4925373134328358,0.5054545454545455,0.48,0.5454545454545454,0.41454545454545455,0.7090909090909091,0.35454545454545455,0.52,0.36,0.9272727272727272,0.3053435114503817,0.68,0.22545454545454546,Arizona Cardinals,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/e1y7zhd7w3xbthodfa3m",Michael Carter
Greg Dortch,G.Dortch,00-0035500,greg dortch,WR,2024.0,2025,17.0,1.125,3.52,2.72,-0.7999999999999998,0.7999999999999998,1,1.8,0.0,0.63,1.0,0.0,86.0248447204969,Fair,0.0,0.0,0.0,0.0,0.0,31.0,0.0,6.2,0.4490334786358289,0.0,342.0,3.0,0.74,9.243243243243244,0.1476187021371886,3.0,0.492152466367713,0.49551569506726456,0.4920091324200913,0.4920091324200913,0.5089686098654709,0.9125560538116592,0.4854260089686099,0.8789237668161435,0.905829596412556,0.4170403587443946,0.7242152466367713,0.8038116591928252,0.7959641255605381,0.28132387706855794,0.5336322869955157,0.9708520179372198,Arizona Cardinals,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jt4lbkjxkkrw3f644sft",Greg Dortch
Zay Jones,Z.Jones,00-0033891,zay jones,WR,2024.0,2025,6.0,2.25,2.59,1.55,-1.0399999999999998,1.0399999999999998,1,1.1,1.3,0.28,1.0,1.15,71.64773735581188,Fair,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,0.7272727272727273,10.5,-0.0431896119315007,0.0,0.492152466367713,0.49551569506726456,0.4920091324200913,0.4920091324200913,0.5089686098654709,0.37331838565022424,0.4854260089686099,0.37331838565022424,0.49327354260089684,0.4170403587443946,0.4125560538116592,0.2365470852017937,0.7724215246636771,0.3947990543735225,0.3609865470852018,0.3890134529147982,Arizona Cardinals,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qihjjzfk0vwzoyrzztkq",Zay Jones
Trey McBride,T.McBride,00-0037744,trey mcbride,TE,2024.0,2025,16.0,1.574915,20.5,15.6,-4.9,4.9,4,3.0,32.5,18.02,4.0,3.4579,79.06521739130434,Overvalued,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.6010563303134404,0.0,1146.0,2.0,0.7551020408163265,10.324324324324325,0.3338190028528677,3.0,0.5021551724137931,0.5021551724137931,0.5021645021645021,0.5021645021645021,0.5064655172413793,0.9439655172413793,0.9913793103448276,0.959051724137931,0.9655172413793104,0.4956896551724138,1.0,0.7586206896551724,0.6724137931034483,0.6681818181818182,0.7068965517241379,0.9137931034482759,Arizona Cardinals,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/vd7av3vdfs6q7ncjogac",Trey McBride
Ray-Ray McCloud,R.McCloud,00-0034407,rayray mccloud,WR,2024.0,2025,17.0,2.5,0.34,6.12,5.78,5.78,1,2.0,0.0,3.69,2.0,2.125,80.5874001774623,Undervalued,0.0,0.0,0.0,0.0,0.0,79.0,0.0,7.9,0.236769409381668,0.3,686.0,1.0,0.7126436781609196,11.064516129032258,0.0646589722308354,1.0,0.492152466367713,0.49551569506726456,0.4920091324200913,0.4920091324200913,0.5089686098654709,0.984304932735426,0.4854260089686099,0.9192825112107623,0.8811659192825112,0.8901345291479821,0.8901345291479821,0.5795964125560538,0.742152466367713,0.45390070921985815,0.45067264573991034,0.9708520179372198,Atlanta Falcons,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/nvwn3sdihyyd2itjt7vy",Ray-Ray McCloud
Chris Blair,C.Blair,00-0036463,chris blair,WR,2024.0,2025,2.0,0.320001,0.38,1.11,0.7300000000000001,0.7300000000000001,1,1.2,0.0,0.03,1.0,0.0,66.68677905944986,Fair,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.5,17.0,-1.8888712092884816,0.0,0.492152466367713,0.49551569506726456,0.4920091324200913,0.4920091324200913,0.5089686098654709,0.37331838565022424,0.4854260089686099,0.37331838565022424,0.49327354260089684,0.4170403587443946,0.17937219730941703,0.2365470852017937,0.24439461883408073,0.8936170212765957,0.02466367713004484,0.17488789237668162,Atlanta Falcons,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/bbejfkq6pcu7bsnkwgwj",Chris Blair
Ross Dwelley,R.Dwelley,00-0034073,ross dwelley,TE,2024.0,2025,1.0,1.2925,1.53,1.82,0.29000000000000004,0.29000000000000004,1,1.2,0.0,0.1,1.0,0.0955,67.98624667258207,Fair,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,5.0,0.1368203028105199,0.0,0.5021551724137931,0.5021551724137931,0.5021645021645021,0.5021645021645021,0.5064655172413793,0.46551724137931033,0.49353448275862066,0.46551724137931033,0.49353448275862066,0.4956896551724138,0.11206896551724138,0.2413793103448276,0.9439655172413793,0.10681818181818181,0.5043103448275862,0.05603448275862069,Atlanta Falcons,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/wf9ynmqonmnaosslkwdl",Ross Dwelley
Jase McClellan,J.McClellan,00-0039393,jase mcclellan,RB,2024.0,2025,2.0,1.053592,1.04,0.69,-0.3500000000000001,0.3500000000000001,1,1.5,0.0,0.02,4.0,0.194368,69.9591836734694,Fair,0.0,0.0,0.0,0.0,0.0,32.0,0.0,2.4615384615384617,-0.5465081570884929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49272727272727274,0.49272727272727274,0.4925373134328358,0.4925373134328358,0.5054545454545455,0.21818181818181817,0.23272727272727273,0.12363636363636364,0.07272727272727272,0.12727272727272726,0.08363636363636363,0.36,0.07090909090909091,0.06297709923664122,0.5490909090909091,0.15636363636363637,Atlanta Falcons,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qargp7q40zcnh0tjfc1o",Jase McClellan
